Date,Open,High,Low,Close,Adj Close,Volume,ticker
2020-03-01,70.5699996948242,76,53.1525001525879,63.5724983215332,63.0835037231445,6280072400,AAPL
2020-04-01,61.625,73.6324996948242,59.2249984741211,73.4499969482422,72.8850250244141,3266123200,AAPL
2020-05-01,71.5625,81.0599975585938,71.4625015258789,79.4850006103516,78.8736038208008,2806405200,AAPL
2020-06-01,79.4375,93.0950012207031,79.3024978637695,91.1999969482422,90.7434692382813,3243375600,AAPL
2020-07-01,91.2799987792969,106.415000915527,89.1449966430664,106.26000213623,105.728088378906,3020496000,AAPL
2020-08-01,108.199996948242,131,107.892501831055,129.039993286133,128.394058227539,4070623100,AAPL
2020-09-01,132.759994506836,137.979995727539,103.099998474121,115.809997558594,115.438041687012,3885767100,AAPL
2020-10-01,117.639999389648,125.389999389648,107.720001220703,108.860000610352,108.510360717773,2895016800,AAPL
2020-11-01,109.110000610352,121.98999786377,107.319999694824,119.050003051758,118.667633056641,2123077300,AAPL
2020-12-01,121.01000213623,138.789993286133,120.01000213623,132.690002441406,132.49201965332,2322956800,AAPL
2021-01-01,133.520004272461,145.089996337891,126.379997253418,131.960006713867,131.763107299805,2240533800,AAPL
2021-02-01,133.75,137.880004882813,118.389999389648,121.26000213623,121.079071044922,1833204000,AAPL
