Datetime,Open,High,Low,Close,Volume,ticker
2021-04-22 09:15:00+05:30,4554.7998046875,4573.7998046875,4509,4570,100475,BAJFINANCE.NS
2021-04-22 09:30:00+05:30,4569,4587.89990234375,4540.7001953125,4582.9501953125,124447,BAJFINANCE.NS
2021-04-22 09:45:00+05:30,4583.35009765625,4598,4562,4591.7998046875,124054,BAJFINANCE.NS
2021-04-22 10:00:00+05:30,4591,4591,4555,4570.2001953125,71308,BAJFINANCE.NS
2021-04-22 10:15:00+05:30,4570.2001953125,4580,4557,4578,46823,BAJFINANCE.NS
2021-04-22 10:30:00+05:30,4579,4584,4568,4571,46651,BAJFINANCE.NS
2021-04-22 10:45:00+05:30,4572,4589.89990234375,4563.25,4576.5,48912,BAJFINANCE.NS
2021-04-22 11:00:00+05:30,4574.0498046875,4579.4501953125,4556.85009765625,4575.9501953125,56046,BAJFINANCE.NS
2021-04-22 11:15:00+05:30,4576.39990234375,4584,4568,4581.89990234375,40636,BAJFINANCE.NS
2021-04-22 11:30:00+05:30,4580.5498046875,4605.85009765625,4570,4603.35009765625,82490,BAJFINANCE.NS
2021-04-22 11:45:00+05:30,4603.5498046875,4645,4603.5498046875,4635,174214,BAJFINANCE.NS
2021-04-22 12:00:00+05:30,4635,4655.64990234375,4620,4652.64990234375,116766,BAJFINANCE.NS
2021-04-22 12:15:00+05:30,4652.64990234375,4673.85009765625,4650.0498046875,4657,151420,BAJFINANCE.NS
2021-04-22 12:30:00+05:30,4655.64990234375,4662.64990234375,4637,4638,78855,BAJFINANCE.NS
2021-04-22 12:45:00+05:30,4638.60009765625,4658.2001953125,4632.0498046875,4651.7998046875,58091,BAJFINANCE.NS
2021-04-22 13:00:00+05:30,4651.7998046875,4662.7001953125,4636.64990234375,4648,50751,BAJFINANCE.NS
2021-04-22 13:15:00+05:30,4647.39990234375,4655,4641.5498046875,4644,35376,BAJFINANCE.NS
2021-04-22 13:30:00+05:30,4644.25,4653.89990234375,4636.0498046875,4650.10009765625,42770,BAJFINANCE.NS
