Datetime,Open,High,Low,Close,Volume,ticker
2021-04-22 09:15:00+05:30,1892.30004882812,1894.05004882813,1878.5,1884.84997558594,354903,RELIANCE.NS
2021-04-22 09:30:00+05:30,1884.65002441406,1889,1880.40002441406,1888,368804,RELIANCE.NS
2021-04-22 09:45:00+05:30,1887.94995117187,1894.69995117188,1887.40002441406,1891.30004882813,300418,RELIANCE.NS
2021-04-22 10:00:00+05:30,1891.30004882813,1893.09997558594,1886.09997558594,1890.30004882813,336480,RELIANCE.NS
2021-04-22 10:15:00+05:30,1890.30004882813,1893.55004882813,1889.30004882813,1892.40002441406,207508,RELIANCE.NS
2021-04-22 10:30:00+05:30,1892.90002441406,1901.15002441406,1892.05004882813,1896,336164,RELIANCE.NS
2021-04-22 10:45:00+05:30,1896.40002441406,1897.40002441406,1892,1892.69995117188,180801,RELIANCE.NS
2021-04-22 11:00:00+05:30,1892.69995117188,1895,1890.55004882813,1894.5,208228,RELIANCE.NS
2021-04-22 11:15:00+05:30,1894.44995117188,1895.69995117188,1891,1892.30004882812,152445,RELIANCE.NS
2021-04-22 11:30:00+05:30,1892.30004882812,1901.84997558594,1892.30004882812,1901.84997558594,214838,RELIANCE.NS
2021-04-22 11:45:00+05:30,1901.75,1909.59997558594,1901.5,1905.69995117188,371751,RELIANCE.NS
2021-04-22 12:00:00+05:30,1905.65002441406,1907,1898.09997558594,1904.19995117188,222241,RELIANCE.NS
2021-04-22 12:15:00+05:30,1904.59997558594,1906,1897.55004882813,1898.55004882813,166706,RELIANCE.NS
2021-04-22 12:30:00+05:30,1898.09997558594,1902.44995117188,1896.30004882813,1900.25,166988,RELIANCE.NS
2021-04-22 12:45:00+05:30,1900.84997558594,1905.30004882813,1899.44995117188,1903.75,167164,RELIANCE.NS
2021-04-22 13:00:00+05:30,1903.75,1908.65002441406,1903.5,1905.94995117188,160715,RELIANCE.NS
2021-04-22 13:15:00+05:30,1905.94995117188,1909,1902.44995117188,1902.44995117188,141057,RELIANCE.NS
2021-04-22 13:30:00+05:30,1902.5,1905,1900,1903,124602,RELIANCE.NS
2021-04-22 13:45:00+05:30,1903.34997558594,1907.90002441406,1902.90002441406,1905,123551,RELIANCE.NS
2021-04-22 14:00:00+05:30,1904.90002441406,1910.84997558594,1904.90002441406,1909.25,183007,RELIANCE.NS
2021-04-22 14:15:00+05:30,1909.25,1910.90002441406,1902.80004882813,1905.75,201623,RELIANCE.NS
2021-04-22 14:30:00+05:30,1905.75,1914.30004882813,1904.05004882812,1910.5,237249,RELIANCE.NS
2021-04-22 14:45:00+05:30,1910.80004882813,1913.15002441406,1908.25,1909.09997558594,185051,RELIANCE.NS
2021-04-22 15:00:00+05:30,1909.5,1912,1904.5,1905.09997558594,613490,RELIANCE.NS
2021-04-22 15:15:00+05:30,1905.09997558594,1907.80004882813,1903.15002441406,1906.55004882813,556178,RELIANCE.NS
2021-04-23 09:15:00+05:30,1903.94995117187,1918.59997558594,1902,1909.75,136751,RELIANCE.NS
2021-04-23 09:30:00+05:30,1909.09997558594,1913.25,1907.19995117188,1909.80004882813,172015,RELIANCE.NS
2021-04-23 09:45:00+05:30,1910,1910.80004882813,1900.15002441406,1903,212716,RELIANCE.NS
2021-04-23 10:00:00+05:30,1903,1908.90002441406,1901.55004882813,1907.05004882813,179126,RELIANCE.NS
2021-04-23 10:15:00+05:30,1907,1913.94995117187,1906.30004882813,1912.25,190995,RELIANCE.NS
2021-04-23 10:30:00+05:30,1912.80004882812,1915.84997558594,1909.25,1912,208127,RELIANCE.NS
2021-04-23 10:45:00+05:30,1911.80004882813,1912,1905.05004882813,1907.25,139688,RELIANCE.NS
2021-04-23 11:00:00+05:30,1907.59997558594,1913.69995117188,1907.19995117188,1912.25,193512,RELIANCE.NS
2021-04-23 11:15:00+05:30,1912.25,1913,1909,1910,89245,RELIANCE.NS
2021-04-23 11:30:00+05:30,1910.25,1911.94995117188,1909.09997558594,1911.25,81496,RELIANCE.NS
2021-04-23 11:45:00+05:30,1911.30004882813,1912.80004882812,1909,1909.94995117188,73735,RELIANCE.NS
2021-04-23 12:00:00+05:30,1909.94995117188,1912.94995117188,1909,1912.25,88532,RELIANCE.NS
2021-04-23 12:15:00+05:30,1912.19995117188,1912.84997558594,1906.59997558594,1910,160319,RELIANCE.NS
2021-04-23 12:30:00+05:30,1910,1912,1908.09997558594,1911.80004882813,103198,RELIANCE.NS
2021-04-23 12:45:00+05:30,1912,1912.5,1909.5,1910.5,81310,RELIANCE.NS
2021-04-23 13:00:00+05:30,1910.5,1912.15002441406,1909.34997558594,1911.5,331675,RELIANCE.NS
2021-04-23 13:15:00+05:30,1911.09997558594,1916.05004882813,1910.05004882813,1914.09997558594,192347,RELIANCE.NS
2021-04-23 13:30:00+05:30,1914.09997558594,1914.15002441406,1902,1905.84997558594,315116,RELIANCE.NS
